city,lat,lng,max_temp,humidity,wind_speed,cloudiness,date,country
Paamiut,61.99,-49.67,41.54000000000002,85,3.41,100,1602967162,GL
Rikitea,-23.12,-134.97,74.22800000000007,79,9.54,100,1602967162,PF
Tiksi,71.69,128.87,18.95,97,5.07,100,1602967163,RU
Vaini,-21.2,-175.2,77.0,94,5.1,75,1602967163,TO
Punta Arenas,-53.15,-70.92,44.6,93,6.7,100,1602967163,CL
Carnarvon,-24.87,113.63,68.0,77,4.6,2,1602967164,AU
Jamestown,-15.94,-5.72,60.71000000000008,98,7.79,98,1602967164,SH
Bonthe,7.53,-12.51,79.10600000000002,87,2.82,15,1602967164,SL
Chokurdakh,70.63,147.92,23.720000000000063,98,1.55,100,1602967165,RU
Mutoko,-17.4,32.23,65.19200000000001,50,2.11,0,1602967165,ZW
Cherskiy,68.75,161.3,20.48000000000004,95,5.04,88,1602967165,RU
Albany,-35.02,117.89,46.4,93,2.6,2,1602967166,AU
Itabira,-19.62,-43.23,63.03200000000002,95,1.15,100,1602967167,BR
Samoded,63.61,40.51,37.832000000000015,96,4.08,100,1602967167,RU
Karratha,-20.74,116.85,63.42800000000007,89,4.75,10,1602966935,AU
Saint-Philippe,-21.36,55.77,69.99800000000002,73,2.1,25,1602967003,RE
Hasaki,35.73,140.83,51.998000000000026,100,3.1,75,1602967148,JP
Seoul,37.57,126.98,42.8,93,0.41,1,1602967168,KR
Loreto,22.27,-101.97,74.858,26,1.8,0,1602967168,MX
Bredasdorp,-34.53,20.04,59.0,87,2.1,69,1602967168,ZA
Barrow,71.29,-156.79,17.6,72,5.1,1,1602967073,US
Provideniya,64.38,-173.3,37.88600000000007,91,0.65,62,1602967169,RU
Mahébourg,-20.41,57.7,73.4,73,2.6,40,1602967169,MU
Talnakh,69.49,88.4,24.8,85,10.0,100,1602967169,RU
Wahiawā,21.5,-158.02,82.4,78,0.85,20,1602967169,US
Kochevo,59.6,54.31,29.82200000000004,98,3.4,47,1602967169,RU
Thompson,55.74,-97.86,32.0,94,2.6,75,1602967170,CA
Shache,38.42,77.24,41.360000000000085,66,0.76,0,1602967170,CN
Khatanga,71.97,102.5,3.362000000000055,91,3.75,26,1602967170,RU
